hostingorganizationkey,total_records,records_with_recordedbyid,pct_with_recordedbyid,records_with_valid_recordedbyid,pct_valid_recordedbyid,records_with_invalid_recordedbyid,pct_invalid_recordedbyid,records_with_orcid,pct_with_orcid,records_with_google_scholar,pct_with_google_scholar,records_with_researcherid,pct_with_researcherid,records_with_wikidata,pct_with_wikidata,records_with_linkedin,pct_with_linkedin,publisherName,publisherUrl
46fec380-8e1d-11dd-8679-b8a03c50a862,2202268,125640,5.70502772596251,125034,5.67751063903213,606,0.02751708693038,125034,5.67751063903213,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,Norwegian Institute for Nature Research,https://www.gbif.org/publisher/46fec380-8e1d-11dd-8679-b8a03c50a862
64795dcb-ad74-41b3-95e5-cc52ba754776,41546257,2252797,5.42238257468055,2232326,5.37310978459504,20471,0.04927279008552,941890,2.26708750201011,300,0.00072208670928,0,0.00000000000000,1375526,3.31083014289350,0,0.00000000000000,GBIF Norway,https://www.gbif.org/publisher/64795dcb-ad74-41b3-95e5-cc52ba754776
28eb1a3f-1c15-4a95-931a-4af90ecb574d,131187330,6604723,5.03457384184890,6604723,5.03457384184890,0,0.00000000000000,6604723,5.03457384184890,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,iNaturalist.org,https://www.gbif.org/publisher/28eb1a3f-1c15-4a95-931a-4af90ecb574d
b43aa701-bc51-40a4-9f6c-b37e41d0e660,40633,1806,4.44466320478429,0,0.00000000000000,1806,4.44466320478429,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,National Commission for Science and Technology (NCST),https://www.gbif.org/publisher/b43aa701-bc51-40a4-9f6c-b37e41d0e660
2760d7b0-767c-11d8-a198-b8a03c50a862,219802,8429,3.83481496983649,8349,3.79841857671905,80,0.03639639311744,8349,3.79841857671905,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,GBIF New Zealand,https://www.gbif.org/publisher/2760d7b0-767c-11d8-a198-b8a03c50a862
f072f648-b8a4-47a0-9e1c-89d790645b5a,2770664,103122,3.72192369771289,101926,3.67875714991064,1196,0.04316654780226,101638,3.66836252970407,618,0.02230512252659,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,Instituto de Investigaciones Marinas y Costeras - Invemar,https://www.gbif.org/publisher/f072f648-b8a4-47a0-9e1c-89d790645b5a
3c5e4331-7f2f-4a8d-aa56-81ece7014fc8,78356176,2117282,2.70212522877584,1942682,2.47929659048190,174600,0.22282863829394,1102889,1.40753295566644,0,0.00000000000000,0,0.00000000000000,861743,1.09977674255058,0,0.00000000000000,Atlas of Living Australia,https://www.gbif.org/publisher/3c5e4331-7f2f-4a8d-aa56-81ece7014fc8
fd0038d0-3e7b-11d9-8439-b8a03c50a862,1379014,37171,2.69547662315248,37171,2.69547662315248,0,0.00000000000000,37171,2.69547662315248,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,Illinois Natural History Survey,https://www.gbif.org/publisher/fd0038d0-3e7b-11d9-8439-b8a03c50a862
497c081b-8157-4287-bb5c-291a4c71439c,369339,9929,2.68831615399403,9917,2.68506710637111,12,0.00324904762292,9917,2.68506710637111,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,"Ministerio de Ciencia, Tecnología e Innovación Productiva",https://www.gbif.org/publisher/497c081b-8157-4287-bb5c-291a4c71439c
bb922300-7ddb-11de-a300-90ac77aa923f,450225,11094,2.46410128269199,10770,2.39213726470098,324,0.07196401799100,10770,2.39213726470098,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,ZooKeys,https://www.gbif.org/publisher/bb922300-7ddb-11de-a300-90ac77aa923f
cd3512e7-886c-4873-b629-740abe8ae74e,375260,8716,2.32265629163780,7238,1.92879603474924,1478,0.39386025688856,7238,1.92879603474924,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,Secretariat of the Pacific Regional Environment Programme,https://www.gbif.org/publisher/cd3512e7-886c-4873-b629-740abe8ae74e
0870a77b-587c-4369-a8ed-bc3d347b8e1c,14451734,254444,1.76064685386543,254444,1.76064685386543,0,0.00000000000000,254444,1.76064685386543,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,PlutoF,https://www.gbif.org/publisher/0870a77b-587c-4369-a8ed-bc3d347b8e1c
6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862,39646196,505657,1.27542375061658,32331,0.08154880735594,473326,1.19387494326063,32331,0.08154880735594,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,GBIF-Spain,https://www.gbif.org/publisher/6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862
b6d09100-919d-4026-b35b-22be3dae7156,1844553,16363,0.88709839185971,16363,0.88709839185971,0,0.00000000000000,16363,0.88709839185971,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,Vermont Center for Ecostudies,https://www.gbif.org/publisher/b6d09100-919d-4026-b35b-22be3dae7156
0c163d39-b67e-4bd9-a2f4-6344b67247f9,306382,2623,0.85612079038586,2623,0.85612079038586,0,0.00000000000000,2623,0.85612079038586,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,KwaZulu-Natal Museum,https://www.gbif.org/publisher/0c163d39-b67e-4bd9-a2f4-6344b67247f9
cdcc4ce1-7f6e-4ed2-b47c-eb451925b038,10126735,85341,0.84272966558323,85341,0.84272966558323,0,0.00000000000000,8696,0.08587170494735,0,0.00000000000000,0,0.00000000000000,78428,0.77446482010243,0,0.00000000000000,Instituto Superior de Agronomia / Universidade de Lisboa,https://www.gbif.org/publisher/cdcc4ce1-7f6e-4ed2-b47c-eb451925b038
c5f7ef70-e233-11d9-a4d6-b8a03c50a862,10015459,71547,0.71436566212292,36501,0.36444660199797,35046,0.34991906012495,36501,0.36444660199797,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,0,0.00000000000000,South African National Biodiversity Institute,https://www.gbif.org/publisher/c5f7ef70-e233-11d9-a4d6-b8a03c50a862
