publishingorgkey	publishername	publisherurl	total_records	records_with_recordedbyid	pct_with_recordedbyid	records_with_valid_recordedbyid	pct_valid_recordedbyid	records_with_invalid_recordedbyid	pct_invalid_recordedbyid	records_with_orcid	pct_with_orcid	records_with_google_scholar	pct_with_google_scholar	records_with_researcherid	pct_with_researcherid	records_with_wikidata	pct_with_wikidata	records_with_linkedin	pct_with_linkedin
0e52cbc0-9669-4712-a48b-30e31a442acb	Comisión Colombiana del Océano	https://www.gbif.org/publisher/0e52cbc0-9669-4712-a48b-30e31a442acb	153	153	100.00000000000000	153	100.00000000000000	0	0.00000000000000	153	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
5a130f35-d25b-4ffa-a771-599784ee7303	Biodiversity Heritage Library	https://www.gbif.org/publisher/5a130f35-d25b-4ffa-a771-599784ee7303	1853	1853	100.00000000000000	0	0.00000000000000	1853	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
b279568b-9806-4c22-a7c3-b380a9cdc35e	iEES-Paris	https://www.gbif.org/publisher/b279568b-9806-4c22-a7c3-b380a9cdc35e	510	510	100.00000000000000	510	100.00000000000000	0	0.00000000000000	510	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
5ba5c22d-ad83-4a00-8d4e-ed3b8cea527c	Universidad Católica de Manizales	https://www.gbif.org/publisher/5ba5c22d-ad83-4a00-8d4e-ed3b8cea527c	15	15	100.00000000000000	15	100.00000000000000	0	0.00000000000000	15	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
362f8f7d-17fc-466a-8637-e25fdac17784	Promotora Stoneville S.A.S.	https://www.gbif.org/publisher/362f8f7d-17fc-466a-8637-e25fdac17784	13	13	100.00000000000000	0	0.00000000000000	13	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
faac8464-7152-4ccf-8488-e3b1b2bae4c4	Autopistas de la Sabana S.A.S.	https://www.gbif.org/publisher/faac8464-7152-4ccf-8488-e3b1b2bae4c4	3083	3083	100.00000000000000	3083	100.00000000000000	0	0.00000000000000	3083	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
04705896-bb99-4ddf-8679-839eff425b07	Campo Capital S.A.S.	https://www.gbif.org/publisher/04705896-bb99-4ddf-8679-839eff425b07	1911	1911	100.00000000000000	1911	100.00000000000000	0	0.00000000000000	1911	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
3e98f09c-7034-49cd-8c61-5e1036e4a8c8	Maratha Vidya Prasarak Samaj's K.R.T. Arts, B.H. Commerce and A.M. Science (K.T.H.M.) College, Nashik	https://www.gbif.org/publisher/3e98f09c-7034-49cd-8c61-5e1036e4a8c8	200	200	100.00000000000000	200	100.00000000000000	0	0.00000000000000	200	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
eae15943-0c7d-4312-9d2f-22b7944c9502	Students on Ice Foundation	https://www.gbif.org/publisher/eae15943-0c7d-4312-9d2f-22b7944c9502	234	234	100.00000000000000	0	0.00000000000000	234	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
75c49d2f-2e58-4018-8fd5-91515d2a580e	Alcaldía Municipal de Cogua en Cundinamarca	https://www.gbif.org/publisher/75c49d2f-2e58-4018-8fd5-91515d2a580e	70	70	100.00000000000000	0	0.00000000000000	70	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
